Название группы/объединения,Аббревиатура названия,Начало работы,Конец работы,Описание группы/объединения,Основные участники группы,Официальное/неофициальное,Библиография,Территориальность,Современные названия,Latitude,Longitude
Общество имени Леонардо да Винчи,-,1906,1911,"Общество возникло осенью 1906. Ставило целью устройство выставок и лекций по искусству, а также содействие развитию художественной промышленности. Осенью 1906 общество провело в помещении Литературно-художественного кружка «Выставку художественных афиш и плакатов», на которой экспонировались, в основном, работы современных западноевропейских мастеров, затем — «Выставку акварелей, пастелей и рисунков» (1906) и «Вторую акварельную выставку» (1907). В конце 1906 члены общества устроили «Выставку картин молодых художников». Одновременно состоялась выставка репродукций с картин Рембрандта. В конце 1906 члены общества устроили «Выставку
картин молодых художников», в которой участвовали,
в основном, учащиеся МУЖВЗ.
","А. Н. Бенуа, В. Э. Борисов-Мусатов, И. И. Бродский, Д. Д. Бурлюк, Ап. М. Васнецов, М. А. Врубель, А. Ф. Гауш, А. С. Голубкина, Н. С. Гончарова, М. В. Добужинский, С. Ю. Жуковский, В. В. Кандинский, Д. Н. Кардовский, Е. С. Кругликова, Б. М. Кустодиев, Д. И. Митрохин, А. П. Остроумова-Лебедева, П. И. Петровичев, Н. К. Рерих, В. В. Рождественский, К. А. Сомов, А. В. Средин, Н. П. Ульянов, А. В. Шевченко, С. Д. Эрьзя, К. Ф. Юон, В. П. Белкин, В. И. Денисов, В. Е. Егоров, М. Д. Езучевский, И. И. Захаров, А. Е. Иванов, У. Ф. Иваск, А. В. Келлер, Н. П. Крымов, М. В. Кузнецов-Волжский, Н. Б. Кузнецов, Д. И. Митрохин, В. П. Петров, А. В. Средин, Р. Р. Фальк, В. Ф. Фишер, М. Е. Харламов, Н. И. Хрустачев, М. В. Эберман, А. Г. Якимченко, А. С. Ястржемский",Официальное,"Каталог выставки картин молодых художников. 19'06 г./Предисл.В. Гофмана. М., 1906.*
'Золотое руно, 1906. № 11/12. С. 143.*
.Митрохин Д. И. Художественные выставки в Москве//Утро (Харьков). 1907,:25 янв.*
Каталог второй акварельной выставки Общества имени Леонардо да Винчи. М. (1906).*
Книга о Митрохине: Статьи. Письма. Воспоминания. Л., 1986. С. 428, 433—-434.",Москва,Москва,55.755826,37.6173
Общество искусств,-,1913,1917,"Общество основано художниками, литераторами
и театральными деятелями с целью «способствовать общению
.между собою членов и представителей всех отраслей искусства, а также ознакомлению широкой публики с произведениями русских
и иностранных мастеров». Устав был утвержден 8 мая
1913; первое организационное собрание состоялось 30 мая, учредительное
собрание — 29 сентября.
В него вошли коллекционеры и меценаты, а также коммерсанты, преподаватели и инженеры. Председателем общества
был избран С. И. Мамонтов; почетным членом стал:
К. Е. Коротков.
Общество устраивало художественные конкурсы и благотворительные
концерты для раненых. Его основная задача — объединение
деятелей искусства и промышленников — осталась невыполненной
из-за войны.
","В. И. Алпатов, А. А. Бахрушин, Э. Л. Брокар, С. П. Рябушинский, С. И. Щукин, А. А. Альвинг, М. П. Арцыбашев, Ю. К. Балтрушайтис, А. Н. Толстой, Л. А. Сулержицкий, А. П. Апсит, В. Е. Богданович, В. П. Дриттенпрейс, К. Ю. Клевер, Л. В. Кутырина, А. Э. Миганаджиян, И. И. Нивинский, В. В. Переплетчиков, А. М. Сараджева, А. П. Фаберже, Г. Б. Якулов, С. Б. Залесский",Официальное,"Русские ведомости, 1913, 1 окт.*
Устав Общества искусств. М., 1916.*
Общество искусств в Москве (Список членов общества и состав дирекции:
на 1 января 1916). М., 1916.",Москва,Москва,55.755826,37.6173
Общество любителей изящных искусств в Екатеринбурге,-,1895,1918,"Общество основано местной интеллигенцией и:
купечеством при участии художников и учителей рисования..
Устав был утвержден 2 ноября 1895. Целью общества ставилось:
«а) развитие в публике любви и интереса к изящным искусствам;
б) посильное содействие усовершенствованию местных:
кустарных изделий в отношении изящества, разнообразия іг.
художественности и в) доставление любителям зодчества, ваяния
и живописи, а также и фотографии возможности и способов
совершенствоваться в этих искусствах путем соревнования,
обмена сведениями и предоставлением для пользования его членам
библиотеки, приборов, аппаратов, моделей, инструментов,
технических приспособлений и т. п., не всегда доступных для'
,приобретения отдельным лицам».
Общество делилось на отделы: литературный, сценического’
искусства, музыки, живописи, ваяния и зодчества, художественной
промышленности, кустарной промышленности и фотографии.
Руководителем живописного отдела стал выпускник Академии
художеств Н. М. Плюснин (после его смерти в 1913’
отдел возглавил скульптор В. А. Алмазов), кустарного —
Д. А. Удинцов. С конца 1890-х общество устраивало выставки. При содействии Л. В. Туржанского на выставках экспонировались работы
москвичей и петербуржцев. Наряду с живописью и графикой
выставлялись предметы прикладного искусства и фотографии..
В декабре 1901 члены общества участвовали в создании художественного
отдела Музея Уральского общества любителей:
естествознания.
В 1896 при обществе организовались вечерние рисовальные-
классы под руководством И. С. Ушакова, на основе которых: в декабре 1902 была создана Екатеринбургская художественнопромышленная
школа. Среди выпускников школы — известные художники А. А. Кудрин,
И. К. Слюсарев (по окончании школы в 1907 преподавал
в ней), И. Д. Шадр и др. В 1919 школа была преобразована
в Высшие государственные художественные мастерские.
","Н. М. Плюснин, В. А. Алмазов, Д. А. Удинцов, В. А. Алмазов, А. К. Боровский, Н. А. Глущук, А. К. Денисов-Уральский, Л. Н. Жуков, Н. А. Ивачев, Н. Н. Клепинин, Н. П. Колмогоров, В. Г. Терников, А. А. Шереметевский, С. И. Яковлев, Л. В. Туржанский, А. Н. Парамонов, В. В. Коновалов, Т. Э. Залькалн",Официальное,"ЦГИА, ф. 1284, оп. 223, 1894, д. 98.* Устав Общества любителей изящных искусств в Екатеринбурге.
Екатеринбург, 1895.*
Каталог художественного отдела Музея Уральского общества любителей
естествознания//3аписки Уральского общества любителей естествознания,
Т. XXIII, 1902. С. I—XXXIII.*
Очерки истории Свердловска. Свердловск, 1958. С. 162—170.",Екатеринбург,Екатеринбург,56.8430993,60.64540859999999
Общество любителей изящных искусств в г. Херсоне,-,1875,1876,"Общество учреждено 16 июля 1875 с целью
«содействовать местным благотворительным и другим полезным
учреждениям, наиболее нуждающимся в средствах к развитию
их деятельности, посредством предоставления в распоряжение
сих учреждений средств от различных предприятий, устраиваемых
обществом любителей на основаниях, предоставляемых ему
уставом». В число учредителей вошли архитекторы И. Григорьев,
А. Иванов и В. Корф.
Общество устраивало концерты, любительские спектакли и
литературно-музыкальные вечера. Был организован художественный
отдел. В апреле 1876 общество устроило выставку,
на которой экспонировались работы местных художников
В. П. Андреевского, Б. Ф. Винкерта и Л. И. Канатова, а также
произведения западно-европейского, японского и русского искусства
из частных собраний; на выставке имелись фотографический
и археологический отделы.","И. Григорьев, А. Иванов, В. Корф, В. П. Андреевский, Б. Ф. Винкерт, Л. И. Канатов",Официальное,"Устав Общества любителей изящных искусств в г. Херсоне. Херсон, 1875.*
'Каталог выставки Общества любителей изящных искусств. Херсон, 1876.",Херсон,Херсон,46.635417,32.616867
Общество любителей художеств,-,1903,1912,"Общество возникло по инициативе местных художников и учителей рисования с целью поддержки и развития художественных способностей в среде любителей. Проект
устава подписали К. Ф. Богаевский, С. А. Иванов и др. Позже
в деятельности общества участвовал М. П. Латри. В начале 1910-х члены общества намечали устраивать периодические выставки, однако эти планы не осуществились.
","К. Ф. Богаевский, С. А. Иванов, М. П. Латри",Официальное,"ЦГИА, ф. 1284, оп. 188, 1903, д. 159.",Феодосия,Феодосия,45.031933,35.382433
Общество молодых художников (ОБМОХУ),ОБМОХУ,1919,1922,"Общество основано весной 1919 группой студентов-выпускников
I Государственных свободных художественных:
мастерских (бывшее Строгановское училище). Его ядро составляли
ученики Г. Б. Якулова и А. В. Лентулова. На преддипломном зачете присутствовал А. В. Луначарский,,
который предложил группе работать в ведении отдела ИЗО'
Наркомпроса и выполнять конкретные производственные задания
по оформлению массовых празднеств, изготовлению панно,
плакатов и транспарантов. С этой целью обществу была выделена
мастерская на углу Кузнецкого моста и Неглинной (бывший
магазин Фаберже). Члены ОБМОХУ готовили трафареты
для плакатов по заказу «Чрезвычайной комиссии по ликвидации
безграмотности», разрабатывали эмблемы и значки, участвовали
в праздничном украшении улиц в Москве и провинциальных
городах, устраивали сельские передвижки и оформляли:
постановки в Государственном показательном театре.
Общество провело четыре выставки: в мае 1919 (в помещении
1-х ГСХМ), весной 1920 (мастерская ОБМОХУ), в мае—
июне 1921 (Большая Дмитровка, 11) и летом 1921 (к открытию
III конгресса Коминтерна). На открытии первой (анонимной)
выставки присутствовали Л. Б. Каменев и А. В. Луначарский..
Наряду с молодежью в выставках участвовали А. В. Лентулов,.
А. М. Родченко и Г. Б. Якулов. Экспонировались образцы агитационного
искусства, а также живописные и пространственные-
искания в духе конструктивизма. Последним совместным выступлением
членов ОБМОХУ стала «1-я Русская художественная
выставка» в галерее Ван Димена в Берлине осенью 1922.
В 1922 общество распалось. К. В. Иогансон, В. А. и
Г. А. Стенберги и К. К. Медунецкий вошли в «Рабочую группу
конструктивистов» при мастерской А. М. Родченко во ВХУТЕ-
МАСе; другие художники посвятили себя сценографии и прикладному
искусству.
В. М. Лобанов пишет: «Значение ОБМОХУ было не столько
в создании или осуществлении каких-то своих художественных'
лозунгов, сколько в том, что они явились пионерами в области
создания новых художественных группировок, построенных,
в отличие от наркомпросовских эклектических выставок, на основе
подбора художников, объединенных общим принципом,
в данном случае, например, преобладанием производственных-
.устремлений ее участников над станковым».","Н. Ф. Денисовский, М. А. Еремичев, А. И. Замошкин, К. В. Иогансон, В. П. Комарденков, С. Н. Костин, К. К. Медунецкий, А. И. Наумов, А. С. Перекатов, А. П. Прусаков, Н. П. Прусаков, С. Я. Светлов, В. А. Стенберг, Г. А. Стенберг, А. В. Лентулов, А. М. Родченко, Г. Б. Якулов",Официальное,"Борьба за реализм, 204—205; Буш, Замошкин, 21, 2 7; Выставки,. 37, 59, 74; Лебедев, 142; Лобанов, 103—106.*Сидоров А. А. Художественные выставки//Творчество, 1920. № 2/4. С. 34— 35.*Комарденков В. Дни минувшие: Из воспоминаний художника. М., 1972.С. 70—72.*Шихирева О. «Мы органичны с революцией.. ,»//Творчество, 1989. № 6.
",Москва,Москва,55.755826,37.6173
Общество московских художников (ОМХ),ОМХ,1927,1932,"ОМХ возникло в результате объединения «Московских
живописцев» с бывшими членами обществ «Маковец»
и «Бытие». Ведущая роль в нем первоначально принадлежала
«бубнововалетцам» и их последователям. Первым председателем правления был избран Грабарь.
Согласно уставу, принятому 23 июня 1928, общество ставило
целью «способствовать поднятию и развитию художественной
культуры РСФСР, а также приближение ее к массам, (...) художественное
отображение жизни и идей советской современности
в живописных пластических формах нового реализма,
исключающего как графический, так и стилистический уклоны
и преодолевающего формальные искания последних десятилетий».
Особое значение придавалось живописной культуре, что
нашло отражение в Программе общества (1929), где наряду
с общественно-политическими задачами выдвигался тезис о повышении
мастерства и усвоении художественных традиций:
«ОМХ считал и считает единственно правильной установку на
квалифицированного художника-станковиста, могущего применить
все богатство живописных средств не только в станковом
произведении, но и во фреске, книжной графике, плакате, декорационном
искусстве, текстильном производстве».
В начале 1928 в общество влилась молодежная группировка
«Крыло», которая первоначально составляла автономную секцию
ОМХ-2. Суверенитет ОМХ-2 относительно основной группы
(ОМХ-1) оговаривался в «Проекте системы взаимоотношений
групп ОМХа», принятом на общем собрании. В 1929 в результате
конфликта между молодым и старшим поколениями федеративное
деление общества было отменено, и бывшие члены
«Крыла» вошли в ОМХ на общих основаниях. С этого времени
правление ОМХ возглавлял А. В. Лентулов.
Состав общества постоянно менялся, и численность его
росла. В 1928—1929 оно пополнилось многими бывшими членами
обществ «Цех живописцев», «Бытие», «Четыре искусства»,
«Рост», «Жар-Цвет» и других московских объединений. В 1930
ОМХ насчитывало 67 действительных членов, в том числе: ОМХ провело две отчетные выставки (февраль 1928 и июнь
1929) и несколько передвижных выставок в клубах рабочих
районов Москвы и Московской области; его члены участвовали
в передвижных выставках, организованных Наркомпросом
(1929 и 1930), и выставке советского искусства в Нью-Йорке
(февраль 1929).
Последний период в деятельности ОМХ был связан с работой
созданных в марте 1928 художественно-производственных
мастерских МАСТОМХ, в задачу которых входило выполнение
«социального заказа» и облегчение материального положения
членов общества. Программа МАСТОМХ включала изготовление
плакатов, лубков на политические и производственные
темы, роспись общественных зданий, оформление клубов и массовых
шествий, издание открыток, репродукций и альбомов.
С этой целью в мастерских были организованы секции: живописно-декоративная,
плакатно-графическая, скульптурная,
металлическая, выставочная и др. Продукция МАСТОМХ экспонировалась
на передвижной выставке, которая в течение 1929
обошла около пятидесяти пунктов Москвы и Московской области.
Несмотря на расширение художественно-промышленной
практики, деятельность ОМХ неизменно вызывала нападки
со стороны теоретиков АХР и «Октября», а в декабре 1930 подверглась
жесткой критике со стороны сектора искусств Нарком-
проса. В резолюции сектора искусств по докладам московских
обществ ОМХ предписывалось усилить политико-воспитательную
работу среди своих членов, провести «классовую дифференциацию»
и чистку рядов. МАСТОМХ предлагалось передать
кооперативу «Художник» и ИЗОГИЗу.
Под влиянием этой резолюции в начале 1931 большая
группа членов ОМХ обратилась к IV пленуму Центрального
совета АХР с заявлением о вхождении в АХР как организацию,
«наиболее близко стоящую к пролетариату». В 1931 деятельность
ОМХ фактически прекратилась. Окончательно общество
было ликвидировано на основании постановления ЦК
ВКП(б) от 23 апреля 1932.
","С. В. Герасимов, И. Э. Грабарь, А. Д. Древин, И. Ф. Завьялов, К. К. Зефиров, Б. Д. Королев, А. В. Лентулов, Н. X. Максимов, Н. Н. Масленников, И. И. Машков, А. А. Осмеркин, С. И. Петров, М. С. Родионов, В. В. Рождественский, Н. А. Удальцова, Р. Р. Фальк, В. Ф. Франкетти, В. Л. Храковский, И. И. Чекмазов, М. Н. Аветов, С. Н. Бухарев, В. И. Григорьев, Н. М. Григорьев, М. А. Добров, В. В. Каптерев, А. И. Кравченко, Н. П. Крымов, А. В. Куприн, А. А. Лебедев-Шуйский, С. И. Лобанов, И. А. Малютин, Д. В. Мурашев, С. Г. Мухин, В. М. Новожилов, В. В. Почиталов, В. Ф. Рындин, А. М. Сахаров, С. М. Таратухин, М. А. Фейгин, А. В. Фонвизин, Н. М. Чернышев, Б. С. Шабль-Табулевич, А. В. Шевченко, М. Ф. Шемякин, Н. И. Шестаков, В. Р. Эйгес",Официальное,"Борьба за реализм, 224—230; Выставки, 251—252, 297—298, 300; Лобанов, 134—135; Маца, 424—425, 570—575, 646—648; Михайлов, 9, 103— 106; Тугендхольд, 116—120.*Выставка художественных произведений Общества московских художников/ Вступ. ст. Игн. Хвойника и Н. М. М., 1929.*Ежегодник литературы и искусства на 1929 г. М., 1929. С. 477—481. *Искусство в массы. 1929. № 3/4. С. 43—46 (Щекотов Н. Выставка ОМХ); № IIS. С. 31 (Обращение ОМХ к обществам художников); С. 36 (Прези¬диум ОМХ. Изо-критика в роли могильщика); С. 37—38 (Редакция. «ОМХ протестует»); С. 38—39 (Щекотов Н. Удар справа под видом атаки слева). Бригада художников, 1931. № 2/3. С.31; 1932. № 4/5. С. 56—57 (Резолю¬ция ОМХ).Заявление группы художников ОМХа IV пленуму Центрального совета АХРа//За пролетарское искусство, 1931. № 5. С. 21.*Меледина М. В. Общество московских живописцев (ОМХ)/Советское искус-ствознание. Вып. 24. М., 1988. С. 362—384 (Списки членов; Устав).
",Москва,Москва,55.755826,37.6173
Общество мстёрских иконописцев,-,1917,-,"Общество возникло в марте---апреле 1917 в связи с образованием Союза деятелей искусств (СДИ). Ставило целью поднять русскую иконопись на степень художественного ее развития. Инициаторами общества стали участники петроградских выставок М. А. Маркичев и О. А. (И. А.) Модоров (председатель).
В него вошли также художник Н. Н. Баканов, выпускники
мстёрской иконописной школы В. Д. Бороздкин, Вит. Д. Бороздкин, В. Н. Овчинников, Н. Н. Овчинников, Д. А. Суслов и
учитель иконописи И. Я. Челноков. 20 мая 1917 общество вошло
в СДИ, где его представлял М. А. Маркичев.","М. А. Маркичев, О. А. (И. А.) Модоров, Н. Н. Баканов, В. Д. Бороздкин, Вит. Д. Бороздкин, В. Н. Овчинников, Н. Н. Овчинников, Д. А. Суслов, И. Я. Челноков",Официальное,"ЦГИА, ф. 794, on. 1, д. 44, л. 508—509 (пояснит, записка в СДИ).",Петроград,Санкт-Петербург,59.9310584,30.3609097
Общество (Товарищество) независимых художников,-,1916,1920,"Общество основано по инициативе художника и
литератора М. К. Гершенфельда. Объединяло молодых живописцев
различных направлений, которые выступали против
консерватизма ТЮРХ, отвергали жюри и стремились к творческой
независимости. Созданию общества предшествовали «весенние
выставки» 1913 и 1914 годов.
Общество провело четыре выставки: весной 1917, в июне
1918, ноябре—декабре 1918 и в декабре 1919. Его члены участвовали
также в «1-й Народной выставке картин, плакатов, вывесок
и детского творчества» (июнь 1919) и «Народной выставке
картин в память Т. Г, Шевченко» (март—апрель 1920). экспонировались также работы некоторых чле175
нов ТЮРХ. Летом 1917 «независимые» приняли участие в создании Союза
пластических искусств, который занялся преобразованием
одесской художественной жизни. В правление союза вошел Гер-
шенфельд. Деятельность общества прекратилась после 1920.
","С. Я. Адливанкин, В. О. Баржанский, Г. Э. Бострем, М. Ф. Бри-Бейн, Л. А. Бродский, Д. И. Бронштейн, М. К. Гершенфельд, Ф. О. Гозиассон, С. Грановский, А. А. Кобцев, В. Г. Крихатский, И. Е. Малик, П. Н. Мамичев, И. И. Мексин, С. В. Милеев, В. М. Миллер, В. Н. Мюллер, И. Г. Никифоров, А. М. Нюренберг, С. С. Олесевич, В. А. Синайский, Н. Ф. Соболь, В. В. Филиппов, Т. Б. Фраерман, Н. 3. Юхневич, П. П. Ганский, С. Я. Кишиневский, Н. Д. Кузнецов, П. А. Нилус",Официальное,"Выставки, 32, 55, 56, 69. * М. Г. (Гершенфельд М. К-). Письмо из Одессы//Аполлон, 1914. № 1/2. С. 150—151. * Гершенфельд М. К- Письмо из Одессы//Аполло-н, 1917. № 2/3. С. 88—901. * Выставка картин Общества независимых художников/Вступ. ст. М. Гер- шенфельда. Одесса, 1919. * Афанасьев В. А. Товарищество южно-русских художников. К., 1961. С. 109— 115 (укр.).
",Одесса,Одесса,46.4702111,30.7306393
Общество окончивших художественное училище барона Штиглица,-,1917,-,"Общество было создано в связи с образованием
Союза деятелей искусств (СДИ). В пояснительной записке, направленной
весной 1917 в СДИ, указывалось: «Общество имеет
целью: способствовать развитию творческих сил своих сочленов
в области декоративных искусств и возможно широкое распространение
в народе художественного вкуса и понимания, а равно
теоретических сведений в области прикладного искусства. Содействовать
улучшению экономического обеспечения членов
Общества путем принятия и распределения заказов, устройства
выставок, общих мастерских, взаимопомощи и пр.» Представителями общества в СДИ были выдвинуты
Шибаев и Эмме.","А. А. Андреев, Я. А. Беленький, Л. Беллен, В. С. Беляев, М. П. Бобышов, Е. И. Буданова, С. И. Видберг, М. В. Зибольт, А. И. Ивашкевич, В. М. Измайлович, А. Л. Карлсон, А. М. Лейцингер, В. М. Лопухин, Н. Е. Макаренко, М. А. Матвеев, И. Г. Михайлов, Н. В. Наумова, П. Л. Панков, Н. П. Петров, А. Н. Платонов, Н. П. Сберегаев, А. Н. Смирнов, А. А. Шибаев, Штирин, А. П. Эйснер, В. В. Эмме, Ф. А. Яковлев",Официальное,"ЦГИА, ф. 794, on. 1, д. 42, л. 3 59—361.",Петроград,Санкт-Петербург,59.9310584,30.3609097
Общество поощрения кустарного промысла и художественных произведений народного промысла,-,1912,1913,"Общество возникло по инициативе художников, педагогов, коллекционеров и общественных деятелей. Одной из главных задач ставило создание в Вильне постоянного этнографического музея. На собраниях общества читались доклады по различным вопросам искусства.","Б. Я. Залкинд, И. Г. Рыбаков, А. Г. Власов, И. И. Красковский, М. фон Роммер",Официальное,"Наша нива, 1912, 27 дек.",Вильна,Вильнюс,54.6871555,25.2796514
